bowler,wickets,runs_conceded,balls_bowled,economy
YS Chahal,213.0,4681,3628,7.741455347298787
DJ Bravo,207.0,4436,3296,8.075242718446601
PP Chawla,201.0,5179,3895,7.977920410783056
SP Narine,200.0,4672,4146,6.7612156295224315
R Ashwin,198.0,5435,4679,6.969437914084206
B Kumar,195.0,5051,4060,7.464532019704434
SL Malinga,188.0,3486,2974,7.032952252858103
A Mishra,183.0,4193,3444,7.304878048780488
JJ Bumrah,182.0,3840,3185,7.233908948194662
RA Jadeja,169.0,4917,3895,7.5743260590500645
UT Yadav,163.0,4442,3190,8.354858934169279
Harbhajan Singh,161.0,4101,3496,7.0383295194508015
Rashid Khan,157.0,3340,2901,6.907962771458118
Sandeep Sharma,153.0,3758,2925,7.708717948717949
HV Patel,151.0,3215,2284,8.44570928196147
MM Sharma,147.0,3278,2308,8.52166377816291
Mohammed Shami,144.0,3486,2521,8.296707655692185
AR Patel,131.0,3824,3152,7.279187817258883
TA Boult,128.0,3286,2428,8.120263591433279
R Vinay Kumar,127.0,3041,2186,8.346752058554438
K Rabada,126.0,2652,1907,8.34399580492921
AD Russell,125.0,2691,1771,9.116883116883116
A Nehra,121.0,2537,1974,7.711246200607903
Z Khan,119.0,2860,2276,7.539543057996485
JD Unadkat,109.0,3219,2194,8.803099361896079
SR Watson,107.0,2742,2137,7.698642957416939
CH Morris,107.0,2377,1801,7.91893392559689
DW Steyn,105.0,2583,2282,6.791411042944786
P Kumar,102.0,3342,2637,7.604095563139932
SN Thakur,100.0,2908,1979,8.816574027286508
RP Singh,100.0,2417,1874,7.738527214514408
IK Pathan,99.0,2711,2113,7.698059630856601
PP Ojha,99.0,2399,1945,7.40051413881748
JA Morkel,96.0,2409,1807,7.998893193137797
I Sharma,96.0,3255,2429,8.04034582132565
Mohammed Siraj,96.0,2894,2081,8.34406535319558
DS Kulkarni,91.0,2513,1876,8.03731343283582
Kuldeep Yadav,90.0,2413,1786,8.106382978723405
M Morkel,88.0,2136,1699,7.543260741612713
Imran Tahir,86.0,1729,1340,7.741791044776119
CV Varun,85.0,2042,1624,7.544334975369457
L Balaji,85.0,2083,1574,7.940279542566709
Arshdeep Singh,84.0,2097,1453,8.659325533379215
KV Sharma,82.0,2130,1520,8.407894736842104
MM Patel,82.0,1733,1382,7.523878437047757
R Bhatia,82.0,2059,1661,7.437688139674895
AB Dinda,82.0,2103,1589,7.940843297671492
Avesh Khan,81.0,2010,1390,8.676258992805757
KA Pollard,81.0,2200,1586,8.32282471626734
KH Pandya,80.0,2644,2183,7.267063673843335
DL Chahar,79.0,2243,1746,7.707903780068729
KK Ahmed,78.0,1918,1345,8.556133828996282
JP Faulkner,76.0,1849,1287,8.62004662004662
T Natarajan,76.0,2001,1401,8.569593147751606
RD Chahar,76.0,2165,1697,7.65468473777254
MJ McClenaghan,75.0,1839,1346,8.197622585438335
JH Kallis,74.0,2348,1799,7.8310172317954425
SK Trivedi,73.0,1944,1557,7.491329479768786
Shakib Al Hasan,71.0,1864,1515,7.3821782178217825
Mustafizur Rahman,70.0,1792,1353,7.946784922394679
HH Pandya,70.0,2196,1485,8.872727272727273
Ravi Bishnoi,68.0,1861,1460,7.647945205479452
M Muralitharan,67.0,1765,1581,6.698292220113852
PJ Cummins,66.0,1976,1370,8.654014598540146
MG Johnson,66.0,1740,1301,8.024596464258263
S Kaul,63.0,1772,1238,8.588045234248789
SM Curran,62.0,1924,1234,9.354943273905997
A Nortje,62.0,1614,1097,8.82771194165907
SK Warne,60.0,1465,1223,7.187244480784955
JO Holder,59.0,1489,1049,8.516682554814109
MA Starc,59.0,1175,879,8.020477815699659
TG Southee,57.0,1774,1262,8.434231378763867
LH Ferguson,57.0,1451,1002,8.688622754491018
M Prasidh Krishna,54.0,1741,1231,8.48578391551584
S Nadeem,54.0,1800,1444,7.4792243767313025
S Gopal,53.0,1358,1000,8.148
NM Coulter-Nile,52.0,1125,892,7.567264573991032
SB Jakati,50.0,1474,1101,8.032697547683924
A Kumble,49.0,1089,983,6.646998982706002
JC Archer,49.0,1210,987,7.355623100303951
S Aravind,48.0,1057,788,8.048223350253807
AJ Tye,48.0,1005,714,8.445378151260504
RJ Harris,47.0,1085,865,7.526011560693642
MC Henriques,46.0,1302,979,7.9795709908069465
YK Pathan,46.0,1443,1184,7.3125
TU Deshpande,46.0,1275,831,9.205776173285198
VR Aaron,46.0,1527,1065,8.60281690140845
MP Stoinis,45.0,1300,831,9.386281588447654
Iqbal Abdulla,45.0,1125,943,7.158006362672323
PJ Sangwan,44.0,1267,905,8.4
P Awana,43.0,1046,774,8.108527131782946
S Sreesanth,43.0,1221,947,7.736008447729672
DE Bollinger,43.0,716,600,7.16
R Sharma,42.0,1100,935,7.0588235294117645
GJ Maxwell,41.0,1311,965,8.151295336787564
MM Ali,40.0,900,770,7.012987012987012
DT Christian,40.0,1218,922,7.926247288503254
WD Parnell,40.0,968,758,7.6622691292875995
M Kartik,39.0,1418,1182,7.197969543147208
MS Gony,39.0,1317,925,8.542702702702703
Washington Sundar,39.0,1335,1064,7.5281954887218046
Yuvraj Singh,39.0,1091,882,7.421768707482993
P Negi,38.0,954,733,7.80900409276944
DP Nannes,38.0,815,689,7.097242380261249
M Pathirana,38.0,617,503,7.359840954274354
M Markande,37.0,1081,737,8.800542740841248
NLTC Perera,37.0,1031,715,8.651748251748252
MR Marsh,37.0,803,593,8.1247892074199
JR Hazlewood,36.0,830,622,8.006430868167202
R Tewatia,36.0,1117,866,7.739030023094688
KK Cooper,36.0,789,600,7.89
PWH de Silva,36.0,758,557,8.165170556552964
CJ Jordan,36.0,1111,717,9.297071129707113
M Ashwin,35.0,1182,898,7.8975501113585755
DL Vettori,34.0,894,785,6.83312101910828
Shivam Mavi,33.0,958,687,8.366812227074236
